Java HotSpot(TM) 64-Bit Server VM (25.251-b08) for windows-amd64 JRE (1.8.0_251-b08), built on Mar 12 2020 06:31:49 by "" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 16474744k(10579832k free), swap 22504056k(15672108k free)
CommandLine flags: -XX:InitialHeapSize=209715200 -XX:MaxHeapSize=209715200 -XX:MaxNewSize=104857600 -XX:MaxTenuringThreshold=15 -XX:NewSize=104857600 -XX:OldPLABSize=16 -XX:PretenureSizeThreshold=3145728 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=8 -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
74.669: [GC (Allocation Failure) 74.669: [ParNew: 82523K->1024K(92160K), 0.0006087 secs] 83941K->2442K(194560K), 0.0006853 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
75.677: [GC (Allocation Failure) 75.677: [ParNew: 82523K->1024K(92160K), 0.0008242 secs] 83941K->2442K(194560K), 0.0009005 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
77.706: [GC (Allocation Failure) 77.706: [ParNew: 82523K->1024K(92160K), 0.0008062 secs] 83941K->2442K(194560K), 0.0008877 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
78.710: [GC (Allocation Failure) 78.710: [ParNew: 82523K->1024K(92160K), 0.0008762 secs] 83941K->2442K(194560K), 0.0009542 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
80.717: [GC (Allocation Failure) 80.717: [ParNew: 82523K->1024K(92160K), 0.0010443 secs] 83941K->2442K(194560K), 0.0011254 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
81.742: [GC (Allocation Failure) 81.742: [ParNew: 82523K->1024K(92160K), 0.0012364 secs] 83941K->2442K(194560K), 0.0013258 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
83.741: [GC (Allocation Failure) 83.741: [ParNew: 82523K->1024K(92160K), 0.0007597 secs] 83941K->2442K(194560K), 0.0008124 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
85.753: [GC (Allocation Failure) 85.753: [ParNew: 82523K->1024K(92160K), 0.0006730 secs] 83941K->2442K(194560K), 0.0007501 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
86.757: [GC (Allocation Failure) 86.757: [ParNew: 82523K->1024K(92160K), 0.0010538 secs] 83941K->2442K(194560K), 0.0011444 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
88.765: [GC (Allocation Failure) 88.765: [ParNew: 82523K->1024K(92160K), 0.0007802 secs] 83941K->2442K(194560K), 0.0008473 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
89.786: [GC (Allocation Failure) 89.786: [ParNew: 82523K->1024K(92160K), 0.0006349 secs] 83941K->2442K(194560K), 0.0006954 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
91.792: [GC (Allocation Failure) 91.792: [ParNew: 82523K->1024K(92160K), 0.0011553 secs] 83941K->2442K(194560K), 0.0012566 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
93.815: [GC (Allocation Failure) 93.815: [ParNew: 82523K->0K(92160K), 0.0011625 secs] 83941K->1418K(194560K), 0.0013030 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
94.818: [GC (Allocation Failure) 94.818: [ParNew: 81499K->1024K(92160K), 0.0005269 secs] 82917K->2442K(194560K), 0.0005994 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
